"filename", "language", "C++", "CMake Cache", "Makefile", "CMake", "YAML", "TypeScript", "CUDA C++", "C", "comment", "blank", "total"
"d:\Github\ml-library\build\src\CMakeFiles\ml_framework.dir\cmake_clean_target.cmake", "CMake", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\Github\ml-library\build\src\CMakeFiles\ml_framework.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\Github\ml-library\build\src\Makefile", "Makefile", 0, 0, 224, 0, 0, 0, 0, 0, 71, 92, 387
"d:\Github\ml-library\build\src\cmake_install.cmake", "CMake", 0, 0, 0, 37, 0, 0, 0, 0, 0, 8, 45
"d:\Github\ml-library\build\tests\CMakeFiles\CMakeDirectoryInformation.cmake", "CMake", 0, 0, 0, 12, 0, 0, 0, 0, 0, 5, 17
"d:\Github\ml-library\build\tests\CMakeFiles\my_cuda_tests.dir\DependInfo.cmake", "CMake", 0, 0, 0, 20, 0, 0, 0, 0, 0, 7, 27
"d:\Github\ml-library\build\tests\CMakeFiles\my_cuda_tests.dir\cmake_clean.cmake", "CMake", 0, 0, 0, 16, 0, 0, 0, 0, 0, 2, 18
"d:\Github\ml-library\build\tests\CMakeFiles\my_cuda_tests.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\Github\ml-library\build\tests\Makefile", "Makefile", 0, 0, 143, 0, 0, 0, 0, 0, 56, 65, 264
"d:\Github\ml-library\build\tests\cmake_install.cmake", "CMake", 0, 0, 0, 37, 0, 0, 0, 0, 0, 8, 45
"d:\Github\ml-library\include\ml_framework\linear.h", "C++", -2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0
"d:\Github\ml-library\include\ml_framework\module.h", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, -1, 2
"d:\Github\ml-library\include\ml_framework\relu.h", "C++", 3, 0, 0, 0, 0, 0, 0, 0, -1, 0, 2
"d:\Github\ml-library\include\ml_framework\tensor.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, -7, -5, -12
"d:\Github\ml-library\src\linear.cpp", "C++", -4, 0, 0, 0, 0, 0, 0, 0, 3, -1, -2
"d:\Github\ml-library\src\module.cpp", "C++", -16, 0, 0, 0, 0, 0, 0, 0, 10, -2, -8
"d:\Github\ml-library\src\relu.cpp", "C++", 4, 0, 0, 0, 0, 0, 0, 0, -1, 2, 5
"d:\Github\ml-library\src\tensor.cpp", "C++", -1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
"d:\Github\ml-library\tests\test_module.cpp", "C++", -4, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0
"Total", "-", 81973, 636, 450, 626, 1043, 6, 337, 827, 383, 23254, 109535
